Id,SalePrice
1461,132065.86
1462,161015.78
1463,180782.61
1464,194548.1
1465,203872.33
1466,174717.45
1467,166542.75
1468,172092.8
1469,182090.1
1470,126476.56
1471,200813.08
1472,98702.89
1473,94473.89
1474,159827.39
1475,132105.03
1476,384983.25
1477,258454.44
1478,307925.66
1479,302772.2
1480,495427.56
1481,338956.8
1482,213926.14
1483,168659.0
1484,170061.33
1485,174587.83
1486,195770.14
1487,348185.2
1488,239197.12
1489,195646.88
1490,244746.33
1491,193476.42
1492,99280.36
1493,187337.92
1494,299379.06
1495,321102.1
1496,233464.58
1497,175465.95
1498,171152.94
1499,168218.03
1500,156195.52
1501,164398.62
1502,164718.98
1503,299201.34
1504,228132.94
1505,224289.97
1506,186473.58
1507,232791.9
1508,207656.06
1509,174115.66
1510,144797.06
1511,144349.88
1512,178312.28
1513,149179.97
1514,168134.44
1515,193604.39
1516,165222.98
1517,165122.88
1518,134776.39
1519,228180.88
1520,132965.31
1521,136791.2
1522,164208.6
1523,107993.375
1524,122013.93
1525,128422.516
1526,127243.945
1527,110974.68
1528,134236.36
1529,146009.75
1530,191639.62
1531,111741.36
1532,103267.16
1533,142295.31
1534,117398.516
1535,151051.81
1536,115190.36
1537,76270.85
1538,189072.36
1539,238256.77
1540,106251.5
1541,148794.42
1542,131826.78
1543,213817.92
1544,81408.69
1545,104129.06
1546,126063.42
1547,127919.03
1548,133588.0
1549,117918.74
1550,133311.9
1551,110976.66
1552,131941.8
1553,143680.61
1554,113563.33
1555,163704.06
1556,73806.36
1557,121105.03
1558,97556.38
1559,90347.836
1560,137261.45
1561,141155.8
1562,123071.43
1563,118043.164
1564,159145.36
1565,146637.19
1566,233514.45
1567,86881.89
1568,226706.34
1569,135523.95
1570,148001.06
1571,127994.45
1572,149349.3
1573,242215.77
1574,112036.57
1575,230183.75
1576,233945.5
1577,191306.83
1578,151709.06
1579,142630.64
1580,191948.23
1581,149173.92
1582,126497.16
1583,339748.4
1584,235777.89
1585,142279.69
1586,86788.13
1587,103891.85
1588,152413.62
1589,105463.92
1590,129753.01
1591,99367.016
1592,124416.91
1593,131024.945
1594,135543.19
1595,108413.266
1596,256774.78
1597,180579.02
1598,224845.86
1599,201729.36
1600,196171.53
1601,81369.25
1602,121474.44
1603,100962.36
1604,286130.25
1605,271166.8
1606,163771.34
1607,208510.55
1608,198430.0
1609,187274.9
1610,141984.48
1611,143622.45
1612,182185.84
1613,156719.55
1614,127308.03
1615,92023.984
1616,78824.984
1617,98738.83
1618,121415.945
1619,138343.94
1620,144314.03
1621,134685.88
1622,142886.12
1623,294908.16
1624,215198.28
1625,136765.28
1626,176496.72
1627,191574.14
1628,315090.16
1629,185999.72
1630,376974.3
1631,220202.06
1632,244605.44
1633,169713.45
1634,183229.28
